__metadata,ID,ROW_ID,SALES_ORGANIZATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,DISTRIBUTION_CHANNEL,DC_NAME,PRICE,CURRENCY
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Pricing_Conditions'}",.1~1,1,CC,CC-F01,500g Nut Muesli,12,Grocery chains,3.90,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Pricing_Conditions'}",.1~2,2,CC,CC-F02,500g Blueberry Muesli,12,Grocery chains,4.23,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Pricing_Conditions'}",.1~3,3,CC,CC-F03,500g Strawberry Muesli,12,Grocery chains,4.23,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Pricing_Conditions'}",.1~4,4,CC,CC-F04,500g Raisin Muesli,12,Grocery chains,3.79,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~5')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~5')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Pricing_Conditions'}",.1~5,5,CC,CC-F05,500g Original Muesli,12,Grocery chains,3.77,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~6')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~6')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Pricing_Conditions'}",.1~6,6,CC,CC-F06,500g Mixed Fruit Muesli,12,Grocery chains,4.13,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~7')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~7')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Pricing_Conditions'}",.1~7,7,CC,CC-F11,1kg Nut Muesli,12,Grocery chains,4.61,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~8')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~8')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Pricing_Conditions'}",.1~8,8,CC,CC-F12,1kg Blueberry Muesli,12,Grocery chains,5.26,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~9')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~9')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Pricing_Conditions'}",.1~9,9,CC,CC-F13,1kg Strawberry Muesli,12,Grocery chains,5.27,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~10')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~10')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Pricing_Conditions'}",.1~10,10,CC,CC-F14,1kg Raisin Muesli,12,Grocery chains,4.38,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~11')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~11')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Pricing_Conditions'}",.1~11,11,CC,CC-F15,1kg Original Muesli,12,Grocery chains,4.35,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~12')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Pricing_Conditions('.1~12')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Pricing_Conditions'}",.1~12,12,CC,CC-F16,1kg Mixed Fruit Muesli,12,Grocery chains,5.06,EUR
