__metadata,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,BANK_CASH_ACCOUNT,ACCOUNTS_RECEIVABLE,BANK_LOAN,ACCOUNTS_PAYABLE,PROFIT,SETUP_TIME_INVESTMENT,DEBT_LOADING,CREDIT_RATING,COMPANY_RISK_RATE_PCT,MARKET_RISK_RATE_PCT,COMPANY_VALUATION,CURRENCY
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~1,1,CC,01,01,01/01,1,1,1273644.00,0.00,0.00,0.00,0.00,0.00,1273644.00,AAA+,3.00,7.00,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~2,2,CC,01,02,01/02,1,2,1273644.00,82189.94,0.00,0.00,56021.62,0.00,1355833.94,AAA+,3.00,7.00,67225944.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~3,3,CC,01,03,01/03,1,3,1273644.00,123999.91,0.00,0.00,84137.69,0.00,1397643.91,AAA+,3.00,7.00,67310152.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~4,4,CC,01,04,01/04,1,4,1273644.00,123999.91,0.00,0.00,84137.69,0.00,1397643.91,AAA+,3.00,7.00,50482614.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~5')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~5')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~5,5,CC,01,05,01/05,1,5,1235144.00,166447.63,0.00,0.00,38691.26,0.00,1401591.63,AAA+,3.00,7.00,18571804.80,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~6')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~6')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~6,6,CC,01,06,01/06,2,6,1235144.00,464871.04,0.00,0.00,231782.18,0.00,1700015.04,AAA+,3.00,7.00,92712872.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~7')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~7')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~7,7,CC,01,07,01/07,2,7,1235144.00,626680.66,0.00,0.00,340091.75,0.00,1861824.66,AAA+,3.00,7.00,116602885.71,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~8')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~8')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~8,8,CC,01,08,01/08,2,8,1235144.00,752679.33,0.00,0.00,424831.18,0.00,1987823.33,AAA+,3.00,7.00,127449354.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~9')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~9')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~9,9,CC,01,09,01/09,2,9,1235144.00,752679.33,0.00,0.00,424831.18,0.00,1987823.33,AAA+,3.00,7.00,113288314.67,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~10')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~10')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~10,10,CC,01,10,01/10,2,10,1192644.00,790562.74,0.00,0.00,369251.93,0.00,1983206.74,AAA+,3.00,7.00,88620463.20,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~11')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~11')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~11,11,CC,01,11,01/11,3,11,1192644.00,833799.49,0.00,0.00,398282.18,0.00,2026443.49,AAA+,3.00,7.00,86897930.18,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~12')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~12')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~12,12,CC,01,12,01/12,3,12,1192644.00,877622.42,0.00,0.00,427741.50,0.00,2070266.42,AAA+,3.00,7.00,85548300.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~13')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~13')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~13,13,CC,01,13,01/13,3,13,1192644.00,914941.81,0.00,0.00,453865.76,0.00,2107585.81,AAA+,3.00,7.00,83790601.85,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~14')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~14')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~14,14,CC,01,14,01/14,3,14,1192644.00,947970.01,0.00,0.00,477034.34,0.00,2140614.01,AAA+,3.00,7.00,81777315.43,EUR
