__metadata,ID,ROW_ID,COMPANY_CODE,SALES_ORGANIZATION,SIM_ROUND,SIM_PERIOD,MATERIAL_DESCRIPTION,DISTRIBUTION_CHANNEL,AREA,QUANTITY,UNIT,AVERAGE_PRICE,NET_VALUE,CURRENCY
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~1,1,CC,Market,01,1,1kg Blueberry Muesli,12,North,14382,ST,5.28,76042.32,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~2,2,CC,Market,01,1,1kg Blueberry Muesli,12,South,12391,ST,5.29,65568.86,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~3,3,CC,Market,01,1,1kg Blueberry Muesli,12,West,13480,ST,5.28,71303.20,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~4,4,CC,Market,01,1,1kg Nut Muesli,12,North,25991,ST,4.65,120939.81,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~5')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~5')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~5,5,CC,Market,01,1,1kg Nut Muesli,12,South,20453,ST,4.63,94755.73,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~6')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~6')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~6,6,CC,Market,01,1,1kg Nut Muesli,12,West,15987,ST,4.62,73938.57,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~7')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~7')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~7,7,CC,Market,01,1,1kg Raisin Muesli,12,North,14777,ST,4.38,64723.26,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~8')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~8')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~8,8,CC,Market,01,1,1kg Raisin Muesli,12,South,11263,ST,4.82,53082.74,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~9')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~9')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~9,9,CC,Market,01,1,1kg Raisin Muesli,12,West,18293,ST,4.41,80832.64,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~10')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~10')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~10,10,CC,Market,01,1,1kg Strawberry Muesli,12,North,9825,ST,5.33,52360.95,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~11')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~11')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~11,11,CC,Market,01,1,1kg Strawberry Muesli,12,South,14454,ST,5.28,76374.88,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~12')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~12')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~12,12,CC,Market,01,1,1kg Strawberry Muesli,12,West,22235,ST,5.29,117796.15,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~13')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~13')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~13,13,CC,Market,01,1,500g Blueberry Muesli,12,North,9767,ST,4.25,41546.31,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~14')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~14')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~14,14,CC,Market,01,1,500g Blueberry Muesli,12,South,23042,ST,4.15,95286.46,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~15')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~15')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~15,15,CC,Market,01,1,500g Blueberry Muesli,12,West,6929,ST,4.26,29527.87,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~16')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~16')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~16,16,CC,Market,01,1,500g Nut Muesli,12,North,18801,ST,3.94,74107.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~17')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~17')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~17,17,CC,Market,01,1,500g Nut Muesli,12,South,8555,ST,3.90,33364.50,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~18')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~18')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~18,18,CC,Market,01,1,500g Nut Muesli,12,West,13640,ST,3.90,53196.00,EUR
