__metadata,ROW_ID,COMPANY_CODE,GAME,SCENARIO,CATEGORY,ELEMENT,DETAIL,VALUE
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(1)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(1)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",1,CC,Manufacturing,Introduction,Organizational_Element,Distribution_Channel,12,Grocery chains
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(2)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(2)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",2,CC,Manufacturing,Introduction,Organizational_Element,Storage_Location,02,Finished Goods
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(3)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(3)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",3,CC,Manufacturing,Introduction,Organizational_Element,Storage_Location,88,Raw Materials
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(4)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(4)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",4,CC,Manufacturing,Introduction,Organizational_Element,Supplier,V01,Foodbroker Inc.
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(5)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(5)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",5,CC,Manufacturing,Introduction,Organizational_Element,Supplier,V02,Continental Printing Co.
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(6)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(6)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",6,CC,Manufacturing,Introduction,Product,CC-F01,500g Nut Muesli,Finished products
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(7)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(7)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",7,CC,Manufacturing,Introduction,Product,CC-F02,500g Blueberry Muesli,Finished products
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(8)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(8)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",8,CC,Manufacturing,Introduction,Product,CC-F03,500g Strawberry Muesli,Finished products
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(9)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(9)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",9,CC,Manufacturing,Introduction,Product,CC-F04,500g Raisin Muesli,Finished products
"{'id': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(10)', 'uri': 'http://e05.bi.ucc.cit.tum.de/odata/935/Current_Game_Rules(10)', 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Game_Rules'}",10,CC,Manufacturing,Introduction,Product,CC-F05,500g Original Muesli,Finished products
