__metadata,ID,ROW_ID,PURCHASING_ORGANIZATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,VENDOR_CODE,VENDOR_NAME,PRICE,CURRENCY
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Suppliers_Prices('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Suppliers_Prices('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Suppliers_Prices'}",.1~1,1,CC,CC-P01,Large Box (1kg),V02,Continental Printing Co.,0.28,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Suppliers_Prices('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Suppliers_Prices('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Suppliers_Prices'}",.1~2,2,CC,CC-P02,Large Bag (1kg),V02,Continental Printing Co.,0.12,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Suppliers_Prices('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Suppliers_Prices('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Suppliers_Prices'}",.1~3,3,CC,CC-P03,Small Box (500g),V02,Continental Printing Co.,0.21,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Suppliers_Prices('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Suppliers_Prices('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Suppliers_Prices'}",.1~4,4,CC,CC-P04,Small Bag (500g),V02,Continental Printing Co.,0.09,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Suppliers_Prices('.1~5')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Suppliers_Prices('.1~5')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Suppliers_Prices'}",.1~5,5,CC,CC-R01,Nuts,V01,Foodbroker Inc.,1.82,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Suppliers_Prices('.1~6')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Suppliers_Prices('.1~6')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Suppliers_Prices'}",.1~6,6,CC,CC-R02,Blueberries,V01,Foodbroker Inc.,4.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Suppliers_Prices('.1~7')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Suppliers_Prices('.1~7')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Suppliers_Prices'}",.1~7,7,CC,CC-R03,Strawberries,V01,Foodbroker Inc.,4.02,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Suppliers_Prices('.1~8')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Suppliers_Prices('.1~8')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Suppliers_Prices'}",.1~8,8,CC,CC-R04,Raisins,V01,Foodbroker Inc.,1.07,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Suppliers_Prices('.1~9')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Suppliers_Prices('.1~9')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Suppliers_Prices'}",.1~9,9,CC,CC-R05,Wheat,V01,Foodbroker Inc.,0.99,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Suppliers_Prices('.1~10')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Suppliers_Prices('.1~10')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Suppliers_Prices'}",.1~10,10,CC,CC-R06,Oats,V01,Foodbroker Inc.,0.92,EUR
