__metadata,ID,ROW_ID,SALES_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,SALES_ORDER_NUMBER,LINE_ITEM,STORAGE_LOCATION,AREA,DISTRIBUTION_CHANNEL,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,QUANTITY,QUANTITY_DELIVERED,UNIT,NET_PRICE,NET_VALUE,COST,CURRENCY
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~1,1,CC,01,02,01/02,1,2,1,2,02,North,12,CC-F01,500g Nut Muesli,2438,2438,ST,3.90,9508.20,2194.20,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~2,2,CC,01,02,01/02,1,2,6,1,02,South,12,CC-F02,500g Blueberry Muesli,2395,2395,ST,4.23,10130.85,2945.85,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~3,3,CC,01,02,01/02,1,2,6,4,02,South,12,CC-F03,500g Strawberry Muesli,2382,2382,ST,4.23,10075.86,2929.86,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~4,4,CC,01,02,01/02,1,2,6,2,02,South,12,CC-F04,500g Raisin Muesli,2451,2451,ST,3.79,9289.29,1936.29,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~5')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~5')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~5,5,CC,01,02,01/02,1,2,6,3,02,South,12,CC-F12,1kg Blueberry Muesli,1944,1944,ST,5.26,10225.44,4412.88,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~6')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~6')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~6,6,CC,01,02,01/02,1,2,1,1,02,North,12,CC-F13,1kg Strawberry Muesli,2122,2122,ST,5.27,11182.94,4838.16,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~7')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~7')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~7,7,CC,01,02,01/02,1,2,1,4,02,North,12,CC-F14,1kg Raisin Muesli,2270,2270,ST,4.38,9942.60,3155.30,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~8')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~8')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~8,8,CC,01,02,01/02,1,2,1,3,02,North,12,CC-F14,1kg Raisin Muesli,2702,2702,ST,4.38,11834.76,3755.78,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~9')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~9')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~9,9,CC,01,03,01/03,1,3,10,1,02,West,12,CC-F01,500g Nut Muesli,2801,2801,ST,3.90,10923.90,2520.90,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~10')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~10')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~10,10,CC,01,03,01/03,1,3,10,4,02,West,12,CC-F13,1kg Strawberry Muesli,2257,2257,ST,5.27,11894.39,5145.96,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~11')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~11')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~11,11,CC,01,03,01/03,1,3,10,3,02,West,12,CC-F14,1kg Raisin Muesli,2074,2074,ST,4.38,9084.12,2882.86,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~12')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~12')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~12,12,CC,01,03,01/03,1,3,10,2,02,West,12,CC-F14,1kg Raisin Muesli,2262,2262,ST,4.38,9907.56,3144.18,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~13')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~13')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~13,13,CC,01,05,01/05,1,5,30,4,02,North,12,CC-F02,500g Blueberry Muesli,2724,2724,ST,4.23,11522.52,3350.52,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~14')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~14')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~14,14,CC,01,05,01/05,1,5,30,3,02,North,12,CC-F11,1kg Nut Muesli,2044,2044,ST,4.61,9422.84,3311.28,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~15')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~15')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~15,15,CC,01,05,01/05,1,5,30,2,02,North,12,CC-F12,1kg Blueberry Muesli,2206,2206,ST,5.26,11603.56,5007.62,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~16')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~16')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~16,16,CC,01,05,01/05,1,5,30,1,02,North,12,CC-F14,1kg Raisin Muesli,2260,2260,ST,4.38,9898.80,3141.40,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~17')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~17')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~17,17,CC,01,06,01/06,2,6,37,3,02,North,12,CC-F01,500g Nut Muesli,2642,2642,ST,3.90,10303.80,2377.80,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~18')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~18')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~18,18,CC,01,06,01/06,2,6,40,2,02,North,12,CC-F01,500g Nut Muesli,2635,2635,ST,3.90,10276.50,2371.50,EUR
