__metadata,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,GL_ACCOUNT_NUMBER,GL_ACCOUNT_NAME,FS_LEVEL_1,FS_LEVEL_2,FS_LEVEL_3,FS_LEVEL_4,DEBIT_CREDIT_INDICATOR,AMOUNT,CURRENCY
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~1,1,JJ,01,01,01/01,1,1,1000,Land,Balance Sheet,Assets,Long-Term Assets,,Debit,500000.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~2,2,JJ,01,01,01/01,1,1,2000,Buildings,Balance Sheet,Assets,Long-Term Assets,,Debit,1500000.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~13')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~13')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~13,13,JJ,01,05,01/05,1,5,476900,Interest expenses,Income Statement,"Sales, General, and Administrative Expenses",Interest Expenses,,Debit,12527.63,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~4,4,JJ,01,01,01/01,1,1,70000,Common stock,Balance Sheet,Liabilities and Owners' Equity,Equity,Shareholders Equity,Credit,-21000000.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~3,3,JJ,01,01,01/01,1,1,11000,Machinery and equipment,Balance Sheet,Assets,Long-Term Assets,,Debit,24000000.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~9')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~9')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~9,9,JJ,01,05,01/05,1,5,11010,Accumulated depreciation - machinery and equipment,Balance Sheet,Assets,Long-Term Assets,,Credit,-50000.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~8')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~8')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~8,8,JJ,01,05,01/05,1,5,2010,Accumulated Depreciation - Buildings,Balance Sheet,Assets,Long-Term Assets,,Credit,-1250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~5')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~5')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~5,5,JJ,01,01,01/01,1,1,113101,Bank Loan,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Credit,-8000000.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~14')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~14')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~14,14,JJ,01,05,01/05,1,5,500000,Direct labor costs,Income Statement,Operating Expenses,,,Debit,20000.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~11')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~11')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~11,11,JJ,01,05,01/05,1,5,211120,Depreciation-buildings,Income Statement,Operating Expenses,,,Debit,1250.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~12')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~12')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~12,12,JJ,01,05,01/05,1,5,211130,Depreciation - machinery and equipment,Income Statement,Operating Expenses,,,Debit,50000.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~15')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~15')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~15,15,JJ,01,05,01/05,1,5,510000,Factory Overhead Expenses,Income Statement,Operating Expenses,,,Debit,15000.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~16')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~16')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~16,16,JJ,01,05,01/05,1,5,520000,"Sales, General and Administrative Expenses",Income Statement,"Sales, General, and Administrative Expenses",SG&A,,Debit,40000.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~10')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~10')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~10,10,JJ,01,05,01/05,1,5,113300,Bank Cash Account,Balance Sheet,Assets,Current Assets,,Credit,-93227.63,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~7')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~7')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~7,7,JJ,01,01,01/01,1,1,113300,Bank Cash Account,Balance Sheet,Assets,Current Assets,,Debit,29000000.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~6')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~6')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~6,6,JJ,01,01,01/01,1,1,113300,Bank Cash Account,Balance Sheet,Assets,Current Assets,,Credit,-26000000.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~17')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~17')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~17,17,JJ,01,05,01/05,1,5,530000,Overhead Carbon Emissions,Income Statement,Operating Expenses,,,Debit,400.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~18')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~18')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~18,18,JJ,01,05,01/05,1,5,550000,Purchased Energy Carbon Emissions,Income Statement,Operating Expenses,,,Debit,500.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~19')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~19')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~19,19,JJ,01,05,01/05,1,5,670000,Investments Carbon Emissions,Income Statement,Operating Expenses,,,Debit,4800.00,EUR
